label,thai_text
spam,"🎉ยินดีด้วยค่ะคุณได้รับสิทธิ์ลุ้นรับ iPhone 15 Pro Max ฟรี! กิจกรรมฉลองครบรอบ 5 ปี เพียงกดเพิ่มเพื่อนและพิมพ์คำว่า ""รับโชค"" ที่ LINE OA ด้านล่างนี้ รับรองได้จริง 100% รีบด่วนสิทธิ์มีจำนวนจำกัด 👉 [คลิกแอดไลน์: @lucky999]"
spam,"สวัสดีค่ะทุกคน ใครว่างงานอยู่บ้างคะ ตอนนี้เรากำลังหารินค้ารับออเดอร์ออนไลน์ ได้เงินจริงค่ะ วันละ 500-1,000 บาท สนใจกด 1 หรือแอดไลน์ส่วนตัวมาหาแอดมินด่วนเลยนะคะ รับจำนวนจำกัดค่ะ @admin99"
spam,"🎉 ยินดีด้วยค่ะคุณคือผู้โชคดี! สมาชิกกลุ่มเราได้รับสิทธิ์รับเงินรางวัลพิเศษ 9,000 บาท ฟรี! 
👉 รีบกดรับสิทธิ์ด่วน จำกัดเวลาแค่ 12 ชั่วโมงนี้เท่านั้น! 
📱 สนใจรับเงิน Add Line ส่วนตัวแอดมิน หรือคลิิงก์นี้เพื่อรับเครดิตฟรีได้เลยค่ะ (รหัสรับสิทธิ์: KL341)"
spam,"📢 ประกาศด่วน! สมาชิกในกลุ่มทุกท่าน 
🎉 ขอแสดงความยินดีด้วยค่ะ/ครับ! คุณเป็นผู้โชคดีได้รับสิทธิ์ ""รับโทรศัพท์มือถือสมาร์ทโฟนรุ่นใหม่ล่าสุด กล้องคมชัด ฟรี!"" 
เนื่องจากท่านอยู่ในกลุ่มเรามานาน หรือใช้เบอร์ครบเงื่อนไข ไม่ต้องเสียเงินสักบาท!

🎁 ของมีจำนวนจำกัด แจกเพียง 10 เครื่องเท่านั้น!
👉 รีบทักแอดมินส่วนตัวเพื่อยืนยันสิทธิ์ด่วน ก่อนสิทธิ์จะเต็ม! 
คลิกเลย: [แอดไลน์รับของรางวัลฟรีที่นี่]"
spam,"🚨ประกาศด่วน! กิจกรรมพิเศษฉลองครบรอบ แจกเครดิตเงินฟรี 500-10,000 บาททุกวัน! 
เพียงกดไลก์ กดแชร์ และกดรับออเดอร์สินค้าออนไลน์ง่ายๆ แค่วันละ 10 นาที ถอนเงินได้จริง ไม่จำกัดรอบ 
สนใจร่วมสนุกรับโบนัสพิเศษ Add Line ส่วนตัวของแอดมินเพื่อรับสิทธิ์ได้เลยครับ จำนวนจำกัด!
👉 ID Line: @vip-bonus99 (มี @ ด้วยนะคะ)"
spam,"🚨 ด่วนที่สุด! ยินดีด้วยค่ะคุณได้รับสิทธิ์เข้าร่วมกลุ่มVIPปั้นพอร์ตรับเงินสดฟรี มูลค่ารวม 100,000 บาท! (แจกจริง 5 สิทธิ์สุดท้ายวันนี้เท่านั้น) 
👉 สนใจรับสิทธิ์พิมพ์ ""สนใจ"" หรือคลิกเพิ่มเพื่อนรับเครดิตฟรีกับแอดมินโดยตรงที่ลิงก์นี้ได้เลยค่ะ: 
Line OA: @vip-bonus99 (Line ส่วนตัวแอดมิน: https://lin.ee/example) 
*เงื่อนไขเป็นไปตามกลุ่มกำหนด*"
spam,"📢ประกาศด่วนจากแอดมิน! กิจกรรมพิเศษฉลองครบรอบ แจกเครดิตเงินฟรี 500 บาท สำหรับสมาชิกในกลุ่ม LINE นี้เท่านั้น! 
👉 เพียงกดคลิกim.cr/FreeBonus500 หรือทักแอดมินส่วนตัวเพื่อรับสิทธิ์ด่วน (สิทธิ์มีจำนวนจำกัด วันนี้วันเดียวเท่านั้น!)"
spam,"🔥ด่วน! กิจกรรมพิเศษแจกเครดิตฟรี 500 บาท สำหรับสมาชิกกลุ่มเราเท่านั้น! 
กดรับสิทธิ์ง่ายๆ แค่แอดไลน์ส่วนตัวแอดมิน แล้วพิมพ์ว่า ""รับเงินฟรี"" 
⚠️สิทธิ์มีจำนวนจำกัด รีบ add LINE ด่วน คลิกลิงก์นี้เลย: [Line ID: @admin-lucky99]"
spam,"🎉ยินดีด้วยค่ะคุณได้รับสิทธิ์ลุ้นรับทองคำฟรี 1 บาท! เพียงแค่กดเพิ่มเพื่อนและทัก 🆔 Line: @lucky999 เพื่อรับโบนัสกดรับออเดอร์สร้างรายได้วันละ 500-1,000 บาทฟรีทันที ด่วน! สิทธิ์มีจำนวนจำกัด คลิกเลย 👉 https://lin.ee/example"
spam,"🎉 ยินดีด้วยค่ะ! คุณได้รับสิทธิ์รับโทรศัพท์มือถือ iPhone 15 Pro Max พร้อมกล้องถ่ายรูปฟรี มูลค่า 45,000 บาท จากกิจกรรมฉลองครบรอบ 5 ปีของกลุ่มเราค่ะ 🎁

สิทธิ์นี้จำกัดแค่ 3 ท่านแรกเท่านั้น! 
👉 สนใจรับของรางวัลฟรี แอด Line ส่วนตัวของแอดมินเพื่อยืนยันตัวตนได้เลยค่ะ: @admin_lucky99 (มี @ด้วยนะคะ) 

⏰ รีบด่วน! สินค้ามีจำนวนจำกัด จัดส่งฟรีถึงหน้าบ้านพรุ่งนี้เลยค่ะ"
